cad,singing,ID,date,region
0.083,1,ML104776411,2018-06-04,Cesar
0.067,1,ML104776411,2018-06-04,Cesar
0.128,2,ML104776411,2018-06-04,Cesar
0.131,3,ML104776411,2018-06-04,Cesar
0.159,3,ML104776411,2018-06-04,Cesar
0.159,2,ML104776411,2018-06-04,Cesar
0.126,1,ML134949711,2017-05-21,Boyaca
0.23,1,ML134949711,2017-05-21,Boyaca
0.066,1,ML134949711,2017-05-21,Boyaca
0.112,2,ML145137171,2019-02-27,Caldas
0.076,2,ML145137171,2019-02-27,Caldas
0.103,3,ML145137171,2019-02-27,Caldas
0.067,3,ML145137171,2019-02-27,Caldas
0.076,1,ML145137171,2019-02-27,Caldas
0.121,1,ML145137171,2019-02-27,Caldas
0.175,1,ML155228091,2019-04-20,Boyaca
0.05,1,ML155228091,2019-04-20,Boyaca
0.145,1,ML160994421,2019-05-26,Boyaca
0.019,1,ML160994421,2019-05-26,Boyaca
0.069,2,ML160994421,2019-05-26,Boyaca
0.133,3,ML160994421,2019-05-26,Boyaca
0.088,2,ML160994421,2019-05-26,Boyaca
0.101,3,ML160994421,2019-05-26,Boyaca
0.117,1,ML168748811,2019-07-06,Risaralda
0.158,2,ML168748811,2019-07-06,Risaralda
0.024,1,ML168748811,2019-07-06,Risaralda
0.136,3,ML168748811,2019-07-06,Risaralda
0.09,3,ML168748811,2019-07-06,Risaralda
0.068,2,ML168748811,2019-07-06,Risaralda
0.131,1,ML176085171,2019-09-07,Boyaca
0.148,1,ML176085171,2019-09-07,Boyaca
0.246,2,ML176085171,2019-09-07,Boyaca
0.15,2,ML176085171,2019-09-07,Boyaca
0.145,2,ML176085171,2019-09-07,Boyaca
0.183,3,ML176085171,2019-09-07,Boyaca
0.152,3,ML176085171,2019-09-07,Boyaca
0.129,1,ML176342261,2019-09-03,Tolima
0.124,1,ML176342261,2019-09-03,Tolima
0.232,2,ML176342261,2019-09-03,Tolima
0.146,2,ML176342261,2019-09-03,Tolima
0.124,2,ML176342261,2019-09-03,Tolima
0.229,3,ML176342261,2019-09-03,Tolima
0.099,3,ML176342261,2019-09-03,Tolima
0.069,3,ML176342261,2019-09-03,Tolima
0.16,2,ML215054161,2016-04-01,Cundinamarca
0.126,2,ML215054161,2016-04-01,Cundinamarca
0.179,1,ML215054161,2016-04-01,Cundinamarca
0.16,1,ML215054161,2016-04-01,Cundinamarca
0.134,1,ML215054161,2016-04-01,Cundinamarca
0.182,2,ML215054161,2016-04-01,Cundinamarca
0.118,2,ML215054161,2016-04-01,Cundinamarca
0.192,2,ML215054161,2016-04-01,Cundinamarca
0.158,2,ML215054161,2016-04-01,Cundinamarca
0.135,1,ML215584781,2020-03-01,Cundinamarca
0.155,1,ML215584781,2020-03-01,Cundinamarca
0.111,3,ML215584781,2020-03-01,Cundinamarca
0.163,2,ML215584781,2020-03-01,Cundinamarca
0.119,2,ML215584781,2020-03-01,Cundinamarca
0.135,3,ML215584781,2020-03-01,Cundinamarca
0.183,1,ML246946471,2019-12-09,Cundinamarca
0.108,1,ML246946471,2019-12-09,Cundinamarca
0.363,1,ML253740121,2020-08-04,Cundinamarca
0.203,1,ML253740121,2020-08-04,Cundinamarca
0.16,1,ML253740121,2020-08-04,Cundinamarca
0.128,2,ML253740121,2020-08-04,Cundinamarca
0.117,3,ML253740121,2020-08-04,Cundinamarca
0.128,3,ML253740121,2020-08-04,Cundinamarca
0.181,3,ML253740121,2020-08-04,Cundinamarca
0.171,2,ML253740121,2020-08-04,Cundinamarca
0.139,2,ML253740121,2020-08-04,Cundinamarca
0.165,1,ML264215601,2020-09-17,Cundinamarca
0.183,1,ML264215601,2020-09-17,Cundinamarca
0.208,2,ML264215601,2020-09-17,Cundinamarca
0.183,2,ML264215601,2020-09-17,Cundinamarca
0.153,2,ML264215601,2020-09-17,Cundinamarca
0.147,1,ML264215601,2020-09-17,Cundinamarca
0.214,3,ML264215601,2020-09-17,Cundinamarca
0.196,3,ML264215601,2020-09-17,Cundinamarca
0.134,3,ML264215601,2020-09-17,Cundinamarca
0.173,2,ML265449341,2020-08-21,Boyaca
0.124,2,ML265449341,2020-08-21,Boyaca
0.148,3,ML265449341,2020-08-21,Boyaca
0.105,3,ML265449341,2020-08-21,Boyaca
0.161,1,ML265449341,2020-08-21,Boyaca
0.093,1,ML265449341,2020-08-21,Boyaca
0.23,1,ML302220931,2021-01-26,Quindio
0.179,1,ML302220931,2021-01-26,Quindio
0.223,2,ML302220931,2021-01-26,Quindio
0.175,2,ML302220931,2021-01-26,Quindio
0.168,3,ML302220931,2021-01-26,Quindio
0.223,3,ML302220931,2021-01-26,Quindio
0.155,2,ML335305611,2021-04-04,Cundinamarca
0.114,2,ML335305611,2021-04-04,Cundinamarca
0.15,1,ML335305611,2021-04-04,Cundinamarca
0.134,1,ML335305611,2021-04-04,Cundinamarca
0.181,3,ML335305611,2021-04-04,Cundinamarca
0.083,3,ML335305611,2021-04-04,Cundinamarca
0.16,2,ML335305611,2021-04-04,Cundinamarca
0.175,3,ML379312001,2021-10-10,Cundinamarca
0.175,3,ML379312001,2021-10-10,Cundinamarca
0.116,1,ML379312001,2021-10-10,Cundinamarca
0.142,2,ML379312001,2021-10-10,Cundinamarca
0.168,2,ML379312001,2021-10-10,Cundinamarca
0.091,2,ML379312001,2021-10-10,Cundinamarca
0.091,3,ML379312001,2021-10-10,Cundinamarca
0.175,1,ML379312001,2021-10-10,Cundinamarca
0.181,1,ML379312001,2021-10-10,Cundinamarca
0.117,2,ML381022231,2021-10-09,Boyaca
0.208,2,ML381022231,2021-10-09,Boyaca
0.188,2,ML381022231,2021-10-09,Boyaca
0.195,3,ML381022231,2021-10-09,Boyaca
0.13,3,ML381022231,2021-10-09,Boyaca
0.201,1,ML381022231,2021-10-09,Boyaca
0.188,3,ML381022231,2021-10-09,Boyaca
0.201,1,ML381022231,2021-10-09,Boyaca
0.143,1,ML381022231,2021-10-09,Boyaca
0.163,1,ML391643051,2021-10-22,Cundinamarca
0.067,1,ML391643051,2021-10-22,Cundinamarca
0.176,1,ML391643051,2021-10-22,Cundinamarca
0.169,2,ML391643051,2021-10-22,Cundinamarca
0.115,2,ML391643051,2021-10-22,Cundinamarca
0.109,2,ML391643051,2021-10-22,Cundinamarca
0.097,3,ML391643051,2021-10-22,Cundinamarca
0.151,3,ML391643051,2021-10-22,Cundinamarca
0.127,3,ML391643051,2021-10-22,Cundinamarca
0.13,1,ML391643061,2021-10-22,Cundinamarca
0.062,1,ML391643061,2021-10-22,Cundinamarca
0.149,2,ML391643061,2021-10-22,Cundinamarca
0.055,2,ML391643061,2021-10-22,Cundinamarca
0.199,3,ML391643061,2021-10-22,Cundinamarca
0.127,3,ML391643061,2021-10-22,Cundinamarca
0.07,3,ML391643061,2021-10-22,Cundinamarca
0.213,1,ML394579371,2021-11-10,Cesar
0.097,1,ML394579371,2021-11-10,Cesar
0.084,2,ML394579371,2021-11-10,Cesar
0.104,1,ML394579371,2021-11-10,Cesar
0.065,2,ML394579371,2021-11-10,Cesar
0.181,3,ML394579371,2021-11-10,Cesar
0.065,3,ML394579371,2021-11-10,Cesar
0.104,3,ML394579371,2021-11-10,Cesar
0.22,2,ML394579371,2021-11-10,Cesar
0.075,1,ML396132321,2021-10-26,Cundinamarca
0.065,1,ML396132321,2021-10-26,Cundinamarca
0.171,2,ML396132321,2021-10-26,Cundinamarca
0.085,2,ML396132321,2021-10-26,Cundinamarca
0.155,3,ML396132321,2021-10-26,Cundinamarca
0.105,3,ML396132321,2021-10-26,Cundinamarca
0.073,1,ML400161631,2021-12-29,Cundinamarca
0.073,2,ML400161631,2021-12-29,Cundinamarca
0.103,2,ML400161631,2021-12-29,Cundinamarca
0.25,1,ML400161631,2021-12-29,Cundinamarca
0.154,1,ML400161631,2021-12-29,Cundinamarca
0.235,2,ML400161631,2021-12-29,Cundinamarca
0.213,3,ML400161631,2021-12-29,Cundinamarca
0.11,3,ML400161631,2021-12-29,Cundinamarca
0.103,3,ML400161631,2021-12-29,Cundinamarca
0.198,1,ML418927381,2022-02-22,Cundinamarca
0.177,1,ML418927381,2022-02-22,Cundinamarca
0.127,1,ML418927381,2022-02-22,Cundinamarca
0.163,3,ML418927381,2022-02-22,Cundinamarca
0.127,3,ML418927381,2022-02-22,Cundinamarca
0.205,3,ML418927381,2022-02-22,Cundinamarca
0.134,2,ML418927381,2022-02-22,Cundinamarca
0.212,2,ML418927381,2022-02-22,Cundinamarca
0.17,2,ML418927381,2022-02-22,Cundinamarca
0.189,3,ML418927411,2022-02-22,Cundinamarca
0.164,1,ML418927411,2022-02-22,Cundinamarca
0.199,1,ML418927411,2022-02-22,Cundinamarca
0.194,3,ML418927411,2022-02-22,Cundinamarca
0.114,1,ML418927411,2022-02-22,Cundinamarca
0.169,2,ML418927411,2022-02-22,Cundinamarca
0.194,2,ML418927411,2022-02-22,Cundinamarca
0.134,2,ML418927411,2022-02-22,Cundinamarca
0.129,3,ML418927411,2022-02-22,Cundinamarca
0.114,2,ML419328951,2022-02-23,Cundinamarca
0.227,2,ML419328951,2022-02-23,Cundinamarca
0.189,2,ML419328951,2022-02-23,Cundinamarca
0.171,3,ML419328951,2022-02-23,Cundinamarca
0.133,3,ML419328951,2022-02-23,Cundinamarca
0.199,1,ML419328951,2022-02-23,Cundinamarca
0.189,3,ML419328951,2022-02-23,Cundinamarca
0.18,1,ML419328951,2022-02-23,Cundinamarca
0.133,1,ML419328951,2022-02-23,Cundinamarca
0.116,1,ML432077551,2022-03-15,Risaralda
0.179,1,ML432077551,2022-03-15,Risaralda
0.097,2,ML432077551,2022-03-15,Risaralda
0.129,2,ML432077551,2022-03-15,Risaralda
0.105,3,ML432077551,2022-03-15,Risaralda
0.113,3,ML432077551,2022-03-15,Risaralda
0.158,2,ML433146461,2022-04-06,Cundinamarca
0.158,3,ML433146461,2022-04-06,Cundinamarca
0.167,3,ML433146461,2022-04-06,Cundinamarca
0.158,3,ML433146461,2022-04-06,Cundinamarca
0.175,2,ML433146461,2022-04-06,Cundinamarca
0.184,2,ML433146461,2022-04-06,Cundinamarca
0.149,1,ML433146461,2022-04-06,Cundinamarca
0.158,1,ML433146461,2022-04-06,Cundinamarca
0.184,1,ML433146461,2022-04-06,Cundinamarca
0.157,1,ML433262271,2022-04-07,Cundinamarca
0.178,1,ML433262271,2022-04-07,Cundinamarca
0.194,3,ML433262271,2022-04-07,Cundinamarca
0.163,3,ML433262271,2022-04-07,Cundinamarca
0.136,2,ML433262271,2022-04-07,Cundinamarca
0.184,2,ML433262271,2022-04-07,Cundinamarca
0.191,1,ML435163371,2022-03-19,Santander
0.203,1,ML435163371,2022-03-19,Santander
0.223,2,ML435163371,2022-03-19,Santander
0.143,1,ML435163371,2022-03-19,Santander
0.14,2,ML435163371,2022-03-19,Santander
0.194,2,ML435163371,2022-03-19,Santander
0.126,3,ML435163371,2022-03-19,Santander
0.223,3,ML435163371,2022-03-19,Santander
0.191,3,ML435163371,2022-03-19,Santander
0.224,1,ML46892261,2016-12-14,Cesar
0.207,1,ML46892261,2016-12-14,Cesar
0.169,1,ML46892261,2016-12-14,Cesar
0.201,1,ML472610061,2022-08-01,Cundinamarca
0.146,1,ML472610061,2022-08-01,Cundinamarca
0.151,3,ML472610061,2022-08-01,Cundinamarca
0.113,2,ML472610061,2022-08-01,Cundinamarca
0.226,1,ML472610061,2022-08-01,Cundinamarca
0.184,3,ML472610061,2022-08-01,Cundinamarca
0.197,2,ML472610061,2022-08-01,Cundinamarca
0.035,3,ML472770151,2022-03-26,Cesar
0.225,1,ML472770151,2022-03-26,Cesar
0.104,1,ML472770151,2022-03-26,Cesar
0.199,2,ML472770151,2022-03-26,Cesar
0.069,1,ML472770151,2022-03-26,Cesar
0.147,3,ML472770151,2022-03-26,Cesar
0.199,3,ML472770151,2022-03-26,Cesar
0.104,2,ML472770151,2022-03-26,Cesar
0.13,2,ML472770151,2022-03-26,Cesar
0.156,1,ML491945461,2023-10-09,Antioquia
0.102,1,ML491945461,2023-10-09,Antioquia
0.109,3,ML491945461,2023-10-09,Antioquia
0.254,3,ML491945461,2023-10-09,Antioquia
0.27,2,ML491945461,2023-10-09,Antioquia
0.211,2,ML491945461,2023-10-09,Antioquia
0.117,3,ML491945461,2023-10-09,Antioquia
0.125,2,ML491945461,2023-10-09,Antioquia
0.169,2,ML500026221,2022-10-20,Huila
0.077,2,ML500026221,2022-10-20,Huila
0.232,3,ML500026221,2022-10-20,Huila
0.127,2,ML500026221,2022-10-20,Huila
0.105,1,ML500026221,2022-10-20,Huila
0.042,3,ML500026221,2022-10-20,Huila
0.112,3,ML500026221,2022-10-20,Huila
0.127,1,ML500026221,2022-10-20,Huila
0.098,1,ML500026221,2022-10-20,Huila
0.087,3,ML528465711,2023-01-26,Quindio
0.114,2,ML528465711,2023-01-26,Quindio
0.175,3,ML528465711,2023-01-26,Quindio
0.128,3,ML528465711,2023-01-26,Quindio
0.269,1,ML528465711,2023-01-26,Quindio
0.141,2,ML528465711,2023-01-26,Quindio
0.188,2,ML528465711,2023-01-26,Quindio
0.188,1,ML528465711,2023-01-26,Quindio
0.074,1,ML528465711,2023-01-26,Quindio
0.217,2,ML528465751,2023-01-26,Quindio
0.121,2,ML528465751,2023-01-26,Quindio
0.113,1,ML528465751,2023-01-26,Quindio
0.095,2,ML528465751,2023-01-26,Quindio
0.199,3,ML528465751,2023-01-26,Quindio
0.195,3,ML528465751,2023-01-26,Quindio
0.082,1,ML528465751,2023-01-26,Quindio
0.208,1,ML528465751,2023-01-26,Quindio
0.13,3,ML528465751,2023-01-26,Quindio
0.189,1,ML590680711,2023-06-29,Cundinamarca
0.151,1,ML590680711,2023-06-29,Cundinamarca
0.206,1,ML590680711,2023-06-29,Cundinamarca
0.162,2,ML590680711,2023-06-29,Cundinamarca
0.216,2,ML590680711,2023-06-29,Cundinamarca
0.135,3,ML590680711,2023-06-29,Cundinamarca
0.151,2,ML590680711,2023-06-29,Cundinamarca
0.124,3,ML590680711,2023-06-29,Cundinamarca
0.203,3,ML590680711,2023-06-29,Cundinamarca
0.192,3,ML590839041,2023-06-30,Cundinamarca
0.187,2,ML590839041,2023-06-30,Cundinamarca
0.133,3,ML590839041,2023-06-30,Cundinamarca
0.187,1,ML590839041,2023-06-30,Cundinamarca
0.112,1,ML590839041,2023-06-30,Cundinamarca
0.208,1,ML590839041,2023-06-30,Cundinamarca
0.213,2,ML590839041,2023-06-30,Cundinamarca
0.192,3,ML590839041,2023-06-30,Cundinamarca
0.117,2,ML590839041,2023-06-30,Cundinamarca
0.179,1,ML606407281,2023-08-16,Cundinamarca
0.069,1,ML606407281,2023-08-16,Cundinamarca
0.129,2,ML606407281,2023-08-16,Cundinamarca
0.094,2,ML606407281,2023-08-16,Cundinamarca
0.069,3,ML606407281,2023-08-16,Cundinamarca
0.074,3,ML606407281,2023-08-16,Cundinamarca
0.048,1,ML606410871,2023-08-16,Cundinamarca
